PAGA FOOTBALL APP — BASE DE DONNÉES EXERCICES COMPLÈTE (1150 exercices · PAGA + OTA + TC);;;;;;;;;;;;;;;;;;;;;;;;;
EXERCISE_ID;EXERCISE_NAME;MAIN_CATEGORY;SUB_CATEGORY;OBJECTIVE_PRIMARY;OBJECTIVE_SECONDARY;ENVIRONMENT;EQUIPMENT;EQUIPMENT_LEVEL;PRIORITY;SESSION_ROLE;MOVEMENT_PATTERN;VECTOR;CONTRACTION_TYPE;INTENSITY;NEURAL_LOAD;MECHANICAL_LOAD;METABOLIC_LOAD;SOLO_ONLY;FOOTBALL_TRANSFER;COMPATIBLE_DAYS;LEVEL;AGE_GROUP;POSITION_RELEVANCE;CONTRAINDICATIONS;PROGRESSION_GROUP
EX0001;A skip;speed_max;sprint_mechanics;sprint_mechanics;coordination;field;none;minimal;core;activation;sprint;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+3,MD-2,MD+2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;skip_series
EX0002;B skip;speed_max;sprint_mechanics;sprint_mechanics;coordination;field;none;minimal;core;activation;sprint;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+3,MD-2,MD+2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;skip_series
EX0003;C skip;speed_max;sprint_mechanics;sprint_mechanics;coordination;field;none;minimal;secondary;activation;sprint;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;skip_series
EX0004;Griffé;speed_max;stiffness;sprint_mechanics;stiffness;field;none;minimal;core;activation;sprint;horizontal;reactive;low;high;low;low;yes;high;MD+3,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;sprint_drills
EX0005;Talons fesses;speed_max;sprint_mechanics;sprint_mechanics;flexibility;field;none;minimal;core;activation;sprint;horizontal;concentric;low;moderate;low;low;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;sprint_drills
EX0006;Skipping sur place;speed_max;stiffness;neural_speed;stiffness;field;none;minimal;core;activation;sprint;vertical;reactive;moderate;high;low;moderate;yes;moderate;MD+2,MD-2;beginner;U10_U12,U13_U15,U16_U18,adult;universal;;sprint_drills
EX0007;Skipping élastique sur place;speed_max;stiffness;neural_speed;stiffness;field;band;standard;secondary;activation;sprint;vertical;reactive;moderate;high;low;moderate;yes;moderate;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_drills
EX0008;Skipping axe résistance élastique;speed_max;sprint_mechanics;resisted_acceleration;stiffness;field;band;standard;secondary;main;sprint;horizontal;reactive;moderate;high;moderate;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_drills
EX0009;Build up sprint;speed_max;top_speed;sprint_top_speed;acceleration;field;none;minimal;core;main;sprint;horizontal;concentric;high;high;moderate;moderate;yes;high;MD+3,MD-4;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0010;Flying sprint;speed_max;top_speed;sprint_top_speed;speed;field;none;minimal;core;main;sprint;horizontal;concentric;very_high;very_high;moderate;moderate;yes;high;MD+3,MD-4;intermediate;U13_U15,U16_U18,adult;universal;hamstring;sprint_series
EX0011;Sprint en descente légère;speed_max;overspeed;overspeed;speed;field;none;minimal;advanced;main;sprint;horizontal;concentric;very_high;very_high;moderate;moderate;yes;high;MD+3;advanced;U16_U18,adult;winger,striker;hamstring;sprint_series
EX0012;Sprint en côte;acceleration;hill_sprint;resisted_acceleration;strength;field;none;minimal;core;main;sprint;horizontal;concentric;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0013;Sprint résisté élastique;acceleration;resisted_acceleration;resisted_acceleration;strength;field;band;standard;core;main;sprint;horizontal;concentric;high;high;high;moderate;yes;high;MD+3;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0014;Vitesse;speed_max;top_speed;sprint_top_speed;speed;field;none;minimal;core;main;sprint;horizontal;concentric;very_high;very_high;moderate;moderate;yes;high;MD+3,MD-4;intermediate;U13_U15,U16_U18,adult;universal;;sprint_series
EX0015;Vitesse 8 axe;cod;linear_cod;agility;speed;field;cones;standard;core;main;sprint;mixed;reactive;high;high;moderate;high;yes;high;MD,MD-2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
EX0016;Vitesse 8 latéral;cod;lateral_cod;agility;speed;field;cones;standard;core;main;cut;lateral;reactive;high;high;moderate;high;yes;high;MD,MD-2;intermediate;U10_U12,U13_U15,U16_U18,adult;universal;;cod_series
